feature,importance
age,0.3840457311873266
first_purchase_type_Проверка зрения,0.13969918843992937
favorite_category_Проверка зрения,0.12019195675666668
favorite_category_Изготовл. очков,0.10415371638600353
first_purchase_type_Изготовл. очков,0.07054395516774735
age_group_51-65,0.040114493887749327
first_purchase_type_Контакт. линзы,0.03330786173084962
age_group_36-50,0.02795470678638661
favorite_category_Контакт. линзы,0.01935013155325162
favorite_category_Продажа,0.01540630537873904
age_group_0-18,0.014680931307647102
first_purchase_type_Продажа,0.013633798554408154
age_group_19-35,0.008763363975328684
age_group_65+,0.007696408302282758
first_purchase_type_Ремонт,0.0002512618957793302
favorite_category_Ремонт,0.0002061886899042843
